TT,Câu hỏi,Phương án A,Phương án B,Phương án C,Phương án D,Phương án E,Đ.án đúng,Số văn bản tham chiếu (kèm trích yếu văn bản),Điều khoản tham chiếu cụ thể
11,"Theo Quy định 9455/QyĐ-BIDV ngày 26/12/2024, trường hợp TSBĐ được định giá bởi Bộ phận QLKH tại Chi nhánh, thẩm quyền phê duyệt Báo cáo định giá giá trị TSBĐ thuộc cấp nào thực hiện?",Phó Giám đốc QLKH/Giám đốc Phòng Giao dịch/Trưởng Phòng KHCN là cấp phê duyệt Báo cáo định giá giá trị TSBĐ trong trường hợp khoản cấp tín dụng thuộc thẩm quyền phê duyệt của Phòng Giao dịch/Phòng KHCN,Phó Giám đốc QLKH/Giám đốc Phòng Giao dịch/Phó Giám đốc Phòng Giao dịch/Trưởng Phòng KHCN là cấp phê duyệt Báo cáo định giá giá trị TSBĐ trong trường hợp khoản cấp tín dụng thuộc thẩm quyền phê duyệt của Phòng KHDN,Giám đốc Phòng Giao dịch/Phó Giám đốc Phòng Giao dịch/Trưởng Phòng KHCN là cấp phê duyệt Báo cáo định giá giá trị TSBĐ trong trường hợp khoản cấp tín dụng thuộc thẩm quyền phê duyệt của Phòng Giao dịch,Phó Giám đốc QLKH/Giám đốc Phòng Giao dịch/Trưởng Phòng KHCN là cấp phê duyệt Báo cáo định giá giá trị TSBĐ trong trường hợp khoản cấp tín dụng thuộc thẩm quyền phê duyệt của Phòng KHCN,,A,"Quy định 9455/QyĐ-BIDV ngày 26/12/2024 về trình tự, thủ tục, thẩm quyền thực hiện biện pháp bảo đảm","Điều 5, khoản 5, điểm b"
12,"Theo Quy định 9455/QyĐ-BIDV ngày 26/12/2024, trường hợp tại thời điểm phê duyệt cấp tín dụng đã có thông tin cụ thể về biện pháp bảo đảm cấp nào là cấp quyết định nhận biện pháp bảo đảm?",Cấp có thẩm quyền phê duyệt cấp tín dụng,Cấp phê duyệt Báo cáo định giá giá trị TSBĐ,Không có đáp án nào đúng,,,A,"Quy định 9455/QyĐ-BIDV ngày 26/12/2024 về trình tự, thủ tục, thẩm quyền thực hiện biện pháp bảo đảm","Điều 6, khoản 1, điểm b"
13,"Theo Quy định 9455/QyĐ-BIDV ngày 26/12/2024, trường hợp sử dụng TSBĐ hiện hữu tại BIDV để đảm bảo thêm cho các nghĩa vụ khác cấp nào là cấp quyết định nhận biện pháp bảo đảm nếu việc nhận bổ sung thêm nghĩa vụ đồng thời với phê duyệt cấp tín dụng?",Cấp có thẩm quyền phê duyệt cấp tín dụng,Cấp phê duyệt Báo cáo định giá giá trị TSBĐ,Không có đáp án nào đúng,,,A,"Quy định 9455/QyĐ-BIDV ngày 26/12/2024 về trình tự, thủ tục, thẩm quyền thực hiện biện pháp bảo đảm","Điều 6, khoản 2, điểm a"
14,"Theo Quy định 9455/QyĐ-BIDV ngày 26/12/2024, trường hợp một tài sản đảm bảo cho nhiều nghĩa vụ của một hoặc nhiều khách hàng tại nhiều Chi nhánh BIDV, các Chi nhánh thực hiện như thế nào?","Các Chi nhánh phải thoả thuận bằng văn bản trong việc phối hợp, chỉ định 01 Chi nhánh giữ vai trò đầu mối nhận, quản lý, xử lý TSBĐ, đảm bảo được quyền lợi của các Chi nhánh","Các Chi nhánh cùng nhận TSBĐ thỏa thuận, thống nhất áp dụng các hệ số giá trị TSBĐ khác nhau hoặc căn cứ hệ số giá trị TSBĐ Chi nhánh đang nhận TSBĐ","Các Chi nhánh phải thoả thuận bằng văn bản trong việc phối hợp, các Chi nhánh cùng giữ vai trò đầu mối nhận, quản lý, xử lý TSBĐ, đảm bảo được quyền lợi của các Chi nhánh","Các Chi nhánh cùng nhận TSBĐ thỏa thuận, thống nhất áp dụng cùng một hệ số giá trị TSBĐ hoặc căn cứ hệ số giá trị TSBĐ Chi nhánh đang nhận TSBĐ","A,B",E,"Quy định 9455/QyĐ-BIDV ngày 26/12/2024 về trình tự, thủ tục, thẩm quyền thực hiện biện pháp bảo đảm","Điều 6, khoản 2, điểm b"
15,"Theo Quy định 9455/QyĐ-BIDV ngày 26/12/2024, đại diện của BIDV ký Biên bản định giá với Bên bảo đảm là thành phần nào sau đây?","- Đối với khách hàng tại Trụ sở chính: Giám đốc/Phó Giám đốc TTTĐPD.
- Đối với khách hàng tại Chi nhánh: Lãnh đạo Chi nhánh hoặc Lãnh đạo
Phòng Giao dịch/Phòng QLRR","- Đối với khách hàng tại Trụ sở chính: Phó Giám đốc Ban Khách hàng.
- Đối với khách hàng tại Chi nhánh: Giám đốc Chi nhánh hoặc Lãnh đạo Phòng QLKH","- Đối với khách hàng tại Trụ sở chính: Giám đốc/Phó Giám đốc Ban Khách hàng.
- Đối với khách hàng tại Chi nhánh: Lãnh đạo Chi nhánh hoặc Lãnh đạo
Phòng Giao dịch/Phòng QLKH","- Đối với khách hàng tại Trụ sở chính: Giám đốc/Phó Giám đốc Ban Khách hàng.
- Đối với khách hàng tại Chi nhánh: Lãnh đạo Chi nhánh hoặc Lãnh đạo
Phòng Giao dịch/Phòng QLKH/QLRR",,C,"Quy định 9455/QyĐ-BIDV ngày 26/12/2024 về trình tự, thủ tục, thẩm quyền thực hiện biện pháp bảo đảm","Điều 6, khoản 4, điểm b"
16,"Theo Quy định 9455/QyĐ-BIDV ngày 26/12/2024, danh mục hồ sơ biện pháp bảo đảm mà bên bảo đảm phải cung cấp cho BIDV đối với bất động sản: quyền sử dụng đất và tài sản gắn liền trên đất là những hồ sơ nào sau đây?","- Bản gốc Giấy chứng nhận quyền sử dụng đất, quyền sở hữu nhà ở và tài sản khác gắn liền với đất;
- Bản gốc Giấy chứng nhận quyền sở hữu công trình trên đất; hoặc 
- Bản sao các giấy tờ pháp lý có giá trị tương đương các giấy tờ nêu tại 2 điểm trên tại thời điểm nhận bảo đảm theo quy định của pháp luật. 
- Đối với nhà ở, công trình xây dựng trên đất đã có Giấy chứng nhận quyền sở hữu mà đất đó được bên thế chấp thuê hoặc mượn như sau:
+ Hợp đồng thuê tài sản (bản sao), Biên lai, Hóa đơn thu tiền của cơ quan nhà nước có thẩm quyền/doanh nghiệp kinh doanh bất động sản (bản sao). 
+ Giấy chứng nhận quyền sử dụng đất của bên cho thuê đất hoặc các giấy tờ pháp lý có giá trị tương đương (bản sao).","- Bản gốc Giấy chứng nhận quyền sử dụng đất, quyền sở hữu nhà ở và tài sản khác gắn liền với đất;
- Bản gốc Giấy chứng nhận quyền sở hữu công trình trên đất; hoặc 
- Bản gốc các giấy tờ pháp lý có giá trị tương đương các giấy tờ nêu tại 2 điểm trên tại thời điểm nhận bảo đảm theo quy định của pháp luật. 
- Đối với nhà ở, công trình xây dựng trên đất đã có Giấy chứng nhận quyền sở hữu mà đất đó được bên thế chấp thuê hoặc mượn như sau:
+ Hợp đồng thuê tài sản (bản gốc), Biên lai, Hóa đơn thu tiền của cơ quan nhà nước có thẩm quyền/doanh nghiệp kinh doanh bất động sản (bản gốc). 
+ Giấy chứng nhận quyền sở hữu đối với nhà ở, công trình xây dựng trên đất (bản gốc) hoặc bản gốc các giấy tờ pháp lý có giá trị tương đương.
+ Giấy chứng nhận quyền sử dụng đất của bên cho thuê đất hoặc các giấy tờ pháp lý có giá trị tương đương (bản sao).","- Bản gốc Giấy chứng nhận quyền sử dụng đất, quyền sở hữu nhà ở và tài sản khác gắn liền với đất;
- Bản gốc Giấy chứng nhận quyền sở hữu công trình trên đất; hoặc 
- Bản sao các giấy tờ pháp lý có giá trị tương đương các giấy tờ nêu tại 2 điểm trên tại thời điểm nhận bảo đảm theo quy định của pháp luật. 
- Hợp đồng thuê tài sản (bản sao), Biên lai, Hóa đơn thu tiền của cơ quan nhà nước có thẩm quyền/doanh nghiệp kinh doanh bất động sản (bản gốc). ",,,B,"Quy định 9455/QyĐ-BIDV ngày 26/12/2024 về trình tự, thủ tục, thẩm quyền thực hiện biện pháp bảo đảm","Phụ lục 02/BPBĐ, mục 1"
17,"Theo Quy định số 9456/QyĐ-BIDV ngày 27/12/2024, các biện pháp bảo đảm áp dụng trong hoạt động cấp tín dụng tại BIDV bao gồm:",Thế chấp tài sản,Cầm cố tài sản,Ký quỹ,Bảo lãnh,Tất cả phương án trên,E,Quy định số 9456/QyĐ-BIDV ngày 27/12/2024 Về bảo đảm thực hiện nghĩa vụ trong hoạt động cấp tín dụng,"Điều 4, khoản 1"
18,"Theo Quy định số 9456/QyĐ-BIDV ngày 27/12/2024, các loại tài sản không dùng làm TSBĐ theo chính sách của BIDV là các tài sản nào sau đây","Quyền sử dụng đất sông, ngòi, kênh, rạch, suối và mặt nước chuyên dùng",Quyền sử dụng đất thuê trả tiền hàng năm,Quyền sử dụng đất nằm trong vùng quy hoạch/giải tỏa và đã có quyết định thu hồi đất,Tất cả phương án trên,,A,Quy định số 9456/QyĐ-BIDV ngày 27/12/2024 Về bảo đảm thực hiện nghĩa vụ trong hoạt động cấp tín dụng,"Phụ lục I/GDBĐ, mục 2"
19,"Theo Quy định số 9456/QyĐ-BIDV ngày 27/12/2024, yêu cầu trong nhận tài sản bảo đảm tại BIDV nào sau đây là chưa đúng?",BIDV có thể nhận làm TSBĐ chính thức khi BIDV không là người được ưu tiên thanh toán đầu tiên.,"BIDV có thể xem xét, chấp thuận một tài sản tại BIDV được dùng để bảo đảm thực hiện nhiều nghĩa vụ, trừ trường hợp pháp luật có quy định khác","BIDV chỉ nhận làm TSBĐ chính thức khi BIDV là người được ưu tiên thanh toán đầu tiên theo quy định của pháp luật nếu phải xử lý tài sản đó, trừ khi chính sách cấp tín dụng của BIDV hoặc cấp có thẩm quyền tại Trụ sở chính có quy định, hướng dẫn hoặc phê duyệt khác","BIDV ưu tiên nhận TSBĐ của chính khách hàng và TSBĐ của bên thứ ba có quan hệ hôn nhân, huyết thống, nuôi dưỡng (nuôi con nuôi) với khách hàng (đối với khách hàng cá nhân), bên thứ ba có quan hệ về sở hữu/điều hành/quản lý với khách hàng (đối với khách hàng là pháp nhân)",,A,Quy định số 9456/QyĐ-BIDV ngày 27/12/2024 Về bảo đảm thực hiện nghĩa vụ trong hoạt động cấp tín dụng,Điều 6
20,"Theo Quy định số 9456/QyĐ-BIDV ngày 27/12/2024, TSBĐ phải đáp ứng điều kiện chung nào sau đây?",Thuộc quyền sở hữu của Bên bảo đảm/bên thứ ba,Tài sản được phép giao dịch,Tài sản có khả năng thanh khoản,Tài sản được mua bảo hiểm,"B,C,D",E,Quy định số 9456/QyĐ-BIDV ngày 27/12/2024 Về bảo đảm thực hiện nghĩa vụ trong hoạt động cấp tín dụng,Điều 7
21,"Theo Quy định số 9456/QyĐ-BIDV ngày 27/12/2024, nội dung không đúng về tài sản bảo đảm bổ sung trong việc bảo đảm thực hiện nghĩa vụ trong hoạt động cấp tín dụng","BIDV định giá, ký HĐBĐ và hạch toán theo giá trị thực tế (được định giá) của tài sản. Đơn vị hoàn thiện tối đa các thủ tục liên quan đến cầm cố/thế chấp tài sản (công chứng/chứng thực, ĐKBPBĐ) nếu được",TSBĐ bổ sung được sử dụng để tính tỷ lệ TSBĐ trong chính sách cấp tín dụng và định hướng cấp tín dụng đối với khách hàng,Việc nhận TSBĐ bổ sung do Đơn vị chủ động quyết định hoặc theo phê duyệt của TSC cho từng trường hợp cụ thể,"A,B",Không có phương án nào đúng,D,Quy định số 9456/QyĐ-BIDV ngày 27/12/2024 Về bảo đảm thực hiện nghĩa vụ trong hoạt động cấp tín dụng,Điều 8
22,"Theo Quy định số 9456/QyĐ-BIDV ngày 27/12/2024, đối với tài sản là quyền sử dụng đất: việc nhận thế chấp quyền sử dụng đất phải đáp ứng các điều kiện nào sau đây?","Đất không có tranh chấp hoặc tranh chấp đang được giải quyết bởi cơ quan nhà nước có thẩm quyền, bản án/quyết định/phán quyết đã có hiệu lực pháp luật của Tòa án/Trọng tài",Quyền sử dụng đất không bị kê biên để bảo đảm thi hành án theo bản án/quyết định của Tòa án/Trọng tài nhằm thực hiện nghĩa vụ của Bên bảo đảm với bên thứ ba,Có Giấy chứng nhận,"B,C",Tất cả phương án trên,D,Quy định số 9456/QyĐ-BIDV ngày 27/12/2024 Về bảo đảm thực hiện nghĩa vụ trong hoạt động cấp tín dụng,"Điều 10, khoản 1"
23,"Theo Quy định số 9456/QyĐ-BIDV ngày 27/12/2024, đối với quyền sử dụng đất có thời hạn sử dụng đất cụ thể (không thuộc trường hợp đất sử dụng ổn định lâu dài), trong năm cuối của thời hạn sử dụng đất, Đơn vị cần yêu cầu Bên bảo đảm nộp hồ sơ đề nghị gia hạn chậm nhất là bao lâu trước khi hết thời hạn sử dụng đất để đảm bảo thời gian Cơ quan có thẩm quyền tiếp nhận hồ sơ, xem xét, giải quyết thủ tục gia hạn thời hạn sử dụng đất theo quy định pháp luật",03 (ba) tháng ,06 (sáu) tháng ,09 (chín) tháng ,12 (mười hai) tháng ,,C,Quy định số 9456/QyĐ-BIDV ngày 27/12/2024 Về bảo đảm thực hiện nghĩa vụ trong hoạt động cấp tín dụng,"Điều 10, khoản 3"
24,"Theo Quy định số 9456/QyĐ-BIDV ngày 27/12/2024, đối với nhà ở riêng lẻ đã hoàn thành việc xây dựng và đã được nghiệm thu đưa vào sử dụng theo quy định của pháp luật về xây dựng nhưng chưa được cấp GCN đối tượng nhận thế chấp là gì?","Nhà ở được xây dựng trên thửa đất ở riêng biệt thuộc quyền sử dụng hợp pháp của tổ chức, hộ gia đình, cá nhân hoặc trên đất thuê, đất mượn của tổ chức, hộ gia đình, cá nhân, bao gồm nhà biệt thự, nhà ở liền kề và nhà ở độc lập, được xây dựng với mục đích để sản xuất kinh doanh",Nhà ở riêng lẻ đã hoàn thành xây dựng và chưa được nghiệm thu đưa vào sử dụng theo quy định pháp luật về xây dựng nhưng chưa được chứng nhận quyền sở hữu ,Nhà ở riêng lẻ đã hoàn thành xây dựng và đã được nghiệm thu đưa vào sử dụng theo quy định pháp luật về xây dựng nhưng chưa được chứng nhận quyền sở hữu ,"Nhà ở được xây dựng trên thửa đất ở riêng biệt thuộc quyền sử dụng hợp pháp của tổ chức, hộ gia đình, cá nhân hoặc trên đất thuê, đất mượn của tổ chức, hộ gia đình, cá nhân, bao gồm nhà biệt thự, nhà ở liền kề và nhà ở độc lập, được xây dựng với mục đích để ở hoặc mục đích sử dụng hỗn hợp","C,D",E,Quy định số 9456/QyĐ-BIDV ngày 27/12/2024 Về bảo đảm thực hiện nghĩa vụ trong hoạt động cấp tín dụng,"Điều 10, khoản 3, điểm a"
25,"Theo Quy định số 9456/QyĐ-BIDV ngày 27/12/2024, đối với nhà ở riêng lẻ đã hoàn thành việc xây dựng và đã được nghiệm thu đưa vào sử dụng theo quy định của pháp luật về xây dựng nhưng chưa được cấp GCN điều kiện nhận thế chấp là gì?",Nhà ở có giấy phép xây dựng và việc xây dựng nhà ở phù hợp với giấy phép hoặc nhà ở không cần/được miễn giấy phép xây dựng theo quy định của Luật Xây dựng và/hoặc các văn bản hướng dẫn thi hành,"Nhà ở thuộc quyền sở hữu hợp pháp của Bên bảo đảm; thuộc diện đang có tranh chấp, khiếu nại, khiếu kiện về quyền sở hữu",Có thể nhận thế chấp nhà ở hoặc nhận thế chấp quyền sử dụng đất,Nhà ở bị kê biên để thi hành án hoặc không bị kê biên để chấp hành quyết định hành chính đã có hiệu lực pháp luật của cơ quan nhà nước có thẩm quyền,,A,Quy định số 9456/QyĐ-BIDV ngày 27/12/2024 Về bảo đảm thực hiện nghĩa vụ trong hoạt động cấp tín dụng,"Điều 10, khoản 3, điểm b"
26,"Theo Quy định số 9456/QyĐ-BIDV ngày 27/12/2024, đối với tài sản khác gắn liền với đất là cây lâu năm chưa được cấp Giấy chứng nhận, BIDV nhận thế chấp khi tài sản đáp ứng các điều kiện sau",Quyền sử dụng đất nơi có vườn cây lâu năm không thuộc trường hợp đã có quyết định thu hồi (theo văn bản xác nhận của UBND cấp xã nơi có vườn cây và văn bản cam kết của chủ sở hữu),"Vườn cây lâu năm thuộc quyền sở hữu hợp pháp của Bên bảo đảm/bên thứ ba; không thuộc trường hợp đang có tranh chấp, khiếu nại, khiếu kiện về quyền sở hữu theo quy định của pháp luật về giải quyết tranh chấp, khiếu nại, tố cáo",Chủ sở hữu vườn cây lâu năm không cần là người sử dụng đất,"Vườn cây lâu năm đang bị áp dụng biện pháp khẩn cấp tạm thời, biện pháp ngăn chặn theo quyết định của Tòa án hoặc cơ quan nhà nước có thẩm quyền",,A,Quy định số 9456/QyĐ-BIDV ngày 27/12/2024 Về bảo đảm thực hiện nghĩa vụ trong hoạt động cấp tín dụng,"Điều 12, khoản 2, điểm a"
27,"Theo Quy định số 9456/QyĐ-BIDV ngày 27/12/2024, đối với tài sản khác gắn liền với đất là cây lâu năm chưa được cấp Giấy chứng nhận, BIDV nhận thế chấp khi tài sản đáp ứng các điều kiện nào sau đây","Việc đầu tư có tác dụng duy trì hoặc làm tăng, giảm giá trị TSBĐ và không làm ảnh hưởng đến quyền của BIDV đối với TSBĐ",Phần tài sản/giá trị tài sản tăng thêm do Bên bảo đảm và/hoặc bên thứ ba đầu tư vào TSBĐ cũng thuộc TSBĐ,Phần tài sản/giá trị tài sản tăng thêm do Bên bảo đảm và/hoặc bên thứ ba đầu tư vào TSBĐ không thuộc TSBĐ,"A,C",,B,Quy định số 9456/QyĐ-BIDV ngày 27/12/2024 Về bảo đảm thực hiện nghĩa vụ trong hoạt động cấp tín dụng,Điều 22
28,"Theo Quy định số 9456/QyĐ-BIDV ngày 27/12/2024, điều kiện của bên bảo lãnh phải đảm bảo nội dung nào sau đây","Có đủ khả năng tài chính để thực hiện nghĩa vụ bảo lãnh. Sau khi nhận bảo lãnh, tối thiểu 01 năm/lần, Đơn vị phải đánh giá lại năng lực tài chính, khả năng thực hiện nghĩa vụ của bên bảo lãnh để có biện pháp ứng xử tín dụng phù hợp","Có đủ khả năng tài chính để thực hiện nghĩa vụ bảo lãnh. Sau khi nhận bảo lãnh, tối thiểu 18 tháng/lần, Đơn vị phải đánh giá lại năng lực tài chính, khả năng thực hiện nghĩa vụ của bên bảo lãnh để có biện pháp ứng xử tín dụng phù hợp","Có đầy đủ năng lực pháp luật dân sự, năng lực hành vi dân sự để thực hiện BPBĐ và không thuộc đối tượng không được xác lập, thực hiện BPBĐ theo quy định của pháp luật","A,C","B,C",D,Quy định số 9456/QyĐ-BIDV ngày 27/12/2024 Về bảo đảm thực hiện nghĩa vụ trong hoạt động cấp tín dụng,Điều 24
29,"Theo Quy định số 9456/QyĐ-BIDV ngày 27/12/2024, TSBĐ phải được xác định giá trị tại thời điểm nào",Sau thời điểm ký kết Hợp đồng bảo đảm,Tại thời điểm ký kết Hợp đồng bảo đảm,Tại thời điểm xử lý TSBĐ,"B,C",Tại bất cứ thời điểm nào,B,Quy định số 9456/QyĐ-BIDV ngày 27/12/2024 Về bảo đảm thực hiện nghĩa vụ trong hoạt động cấp tín dụng,Điều 26
